2024-05-04 01:14:15 CPU Usage: 63.9% | Memory Usage: 26.83% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:16 CPU Usage: 6.1% | Memory Usage: 26.84% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:17 CPU Usage: 15.2% | Memory Usage: 26.84% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:18 CPU Usage: 6.2% | Memory Usage: 26.85% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:20 CPU Usage: 100% | Memory Usage: 26.92% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:21 CPU Usage: 91.7% | Memory Usage: 27.00% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:22 CPU Usage: 79.4% | Memory Usage: 27.01% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:23 CPU Usage: 88.2% | Memory Usage: 27.03% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:24 CPU Usage: 67.6% | Memory Usage: 27.04% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:26 CPU Usage: 100% | Memory Usage: 27.02% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:27 CPU Usage: 63.6% | Memory Usage: 27.04% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:28 CPU Usage: 66.7% | Memory Usage: 27.06% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:29 CPU Usage: 64.7% | Memory Usage: 27.06% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:30 CPU Usage: 40.6% | Memory Usage: 27.05% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:32 CPU Usage: 82.4% | Memory Usage: 27.05% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:33 CPU Usage: 71.9% | Memory Usage: 27.05% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:34 CPU Usage: 71.4% | Memory Usage: 27.05% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:35 CPU Usage: 40% | Memory Usage: 27.08% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:36 CPU Usage: 82.4% | Memory Usage: 27.06% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:37 CPU Usage: 85.3% | Memory Usage: 27.08% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:39 CPU Usage: 70.6% | Memory Usage: 27.08% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:40 CPU Usage: 43.8% | Memory Usage: 27.06% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:41 CPU Usage: 69.7% | Memory Usage: 27.07% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:42 CPU Usage: 34.4% | Memory Usage: 27.07% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:43 CPU Usage: 48.6% | Memory Usage: 27.08% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:45 CPU Usage: 38.2% | Memory Usage: 27.09% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:46 CPU Usage: 61.8% | Memory Usage: 27.08% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:47 CPU Usage: 30.3% | Memory Usage: 27.09% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:48 CPU Usage: 100% | Memory Usage: 27.06% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:49 CPU Usage: 29.4% | Memory Usage: 27.08% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:51 CPU Usage: 48.5% | Memory Usage: 27.08% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:52 CPU Usage: 27.3% | Memory Usage: 27.08% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:53 CPU Usage: 52.9% | Memory Usage: 27.08% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:54 CPU Usage: 29.4% | Memory Usage: 27.09% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:55 CPU Usage: 29% | Memory Usage: 27.09% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:57 CPU Usage: 43.2% | Memory Usage: 27.09% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:58 CPU Usage: 37.5% | Memory Usage: 27.09% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:14:59 CPU Usage: 68.6% | Memory Usage: 27.07% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:15:00 CPU Usage: 26.5% | Memory Usage: 27.09% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:15:01 CPU Usage: 54.5% | Memory Usage: 27.09% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:15:02 CPU Usage: 25% | Memory Usage: 27.09% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:15:04 CPU Usage: 31% | Memory Usage: 27.10% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:15:05 CPU Usage: 22.6% | Memory Usage: 27.11% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:15:06 CPU Usage: 45.5% | Memory Usage: 27.11% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:15:07 CPU Usage: 56.2% | Memory Usage: 27.11% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:15:08 CPU Usage: 21.9% | Memory Usage: 27.11% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:15:10 CPU Usage: 100% | Memory Usage: 27.09% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:15:11 CPU Usage: 21.9% | Memory Usage: 27.10% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:15:12 CPU Usage: 31.2% | Memory Usage: 27.10% | I/O Usage (read write): 3.19 9.08
2024-05-04 01:15:13 CPU Usage: 67.6% | Memory Usage: 27.14% | I/O Usage (read write): 3.19 9.08
