2024-05-04 18:53:03 CPU Usage: 18.2% | Memory Usage: 22.88% | I/O Usage (read write): 3.29 9.05 | Load Average:  6.07, 2.95, 1.28 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.768/1.972/2.119/0.131 Avg:ms Max:
2024-05-04 18:53:08 CPU Usage: 80.6% | Memory Usage: 22.91% | I/O Usage (read write): 3.29 9.05 | Load Average:  5.59, 2.90, 1.27 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.444/1.652/1.845/0.136 Avg:ms Max:
2024-05-04 18:53:13 CPU Usage: 60% | Memory Usage: 23.05% | I/O Usage (read write): 3.29 9.05 | Load Average:  5.30, 2.89, 1.28 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.627/1.819/2.121/0.168 Avg:ms Max:
2024-05-04 18:53:19 CPU Usage: 67.7% | Memory Usage: 23.07% | I/O Usage (read write): 3.29 9.05 | Load Average:  4.95, 2.86, 1.27 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.477/1.683/1.799/0.113 Avg:ms Max:
2024-05-04 18:53:24 CPU Usage: 82.1% | Memory Usage: 23.11% | I/O Usage (read write): 3.29 9.05 | Load Average:  4.64, 2.83, 1.27 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.360/1.604/1.881/0.224 Avg:ms Max:
2024-05-04 18:53:29 CPU Usage: 59.4% | Memory Usage: 23.13% | I/O Usage (read write): 3.29 9.05 | Load Average:  4.35, 2.79, 1.27 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.254/1.507/1.798/0.193 Avg:ms Max:
2024-05-04 18:53:34 CPU Usage: 25.8% | Memory Usage: 23.13% | I/O Usage (read write): 3.29 9.05 | Load Average:  4.32, 2.81, 1.29 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.396/1.733/1.864/0.171 Avg:ms Max:
2024-05-04 18:53:40 CPU Usage: 38.9% | Memory Usage: 23.14% | I/O Usage (read write): 3.29 9.05 | Load Average:  3.97, 2.77, 1.28 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.280/1.496/1.612/0.114 Avg:ms Max:
2024-05-04 18:53:45 CPU Usage: 100% | Memory Usage: 23.14% | I/O Usage (read write): 3.29 9.05 | Load Average:  4.21, 2.84, 1.31 | Process Count: 280 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.660/1.816/1.905/0.090 Avg:ms Max:
2024-05-04 18:53:50 CPU Usage: 34.4% | Memory Usage: 23.15% | I/O Usage (read write): 3.29 9.05 | Load Average:  3.96, 2.81, 1.31 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.607/1.771/1.965/0.113 Avg:ms Max:
2024-05-04 18:53:55 CPU Usage: 75% | Memory Usage: 23.16% | I/O Usage (read write): 3.29 9.05 | Load Average:  3.43, 2.73, 1.30 | Process Count: 280 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.354/1.670/1.927/0.189 Avg:ms Max:
