2024-05-06 13:25:02 CPU Usage: 20.6% | Memory Usage: 22.68% | I/O Usage (read write): 3.34 8.92 | Load Average:  6.25, 5.96, 2.63 | Process Count: 319 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.498/1.850/2.432/0.345 Avg:ms Max:
2024-05-06 13:25:07 CPU Usage: 90.9% | Memory Usage: 23.08% | I/O Usage (read write): 3.34 8.92 | Load Average:  5.75, 5.86, 2.62 | Process Count: 319 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.450/1.656/1.818/0.153 Avg:ms Max:
2024-05-06 13:25:13 CPU Usage: 64.7% | Memory Usage: 23.22% | I/O Usage (read write): 3.34 8.92 | Load Average:  5.72, 5.85, 2.65 | Process Count: 319 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.485/1.585/1.719/0.090 Avg:ms Max:
2024-05-06 13:25:18 CPU Usage: 50% | Memory Usage: 23.23% | I/O Usage (read write): 3.34 8.92 | Load Average:  5.42, 5.78, 2.65 | Process Count: 319 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.590/1.665/1.763/0.066 Avg:ms Max:
2024-05-06 13:25:23 CPU Usage: 100% | Memory Usage: 23.28% | I/O Usage (read write): 3.34 8.92 | Load Average:  5.14, 5.72, 2.64 | Process Count: 319 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.603/1.788/2.002/0.155 Avg:ms Max:
2024-05-06 13:25:28 CPU Usage: 32.4% | Memory Usage: 23.28% | I/O Usage (read write): 3.34 8.92 | Load Average:  5.05, 5.69, 2.65 | Process Count: 319 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.483/1.610/1.715/0.076 Avg:ms Max:
2024-05-06 13:25:34 CPU Usage: 61.8% | Memory Usage: 23.29% | I/O Usage (read write): 3.34 8.92 | Load Average:  4.73, 5.61, 2.64 | Process Count: 319 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.322/1.640/1.956/0.219 Avg:ms Max:
2024-05-06 13:25:39 CPU Usage: 37.5% | Memory Usage: 23.29% | I/O Usage (read write): 3.34 8.92 | Load Average:  4.43, 5.54, 2.63 | Process Count: 319 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.615/1.721/1.814/0.087 Avg:ms Max:
2024-05-06 13:25:44 CPU Usage: 28.1% | Memory Usage: 23.29% | I/O Usage (read write): 3.34 8.92 | Load Average:  4.15, 5.46, 2.62 | Process Count: 319 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.623/1.756/1.962/0.135 Avg:ms Max:
2024-05-06 13:25:49 CPU Usage: 27.3% | Memory Usage: 23.29% | I/O Usage (read write): 3.34 8.92 | Load Average:  3.82, 5.37, 2.61 | Process Count: 319 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.422/1.743/1.911/0.179 Avg:ms Max:
2024-05-06 13:25:55 CPU Usage: 40% | Memory Usage: 23.30% | I/O Usage (read write): 3.34 8.92 | Load Average:  3.52, 5.28, 2.60 | Process Count: 319 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.344/1.753/1.957/0.221 Avg:ms Max:
2024-05-06 13:26:00 CPU Usage: 79.4% | Memory Usage: 23.32% | I/O Usage (read write): 3.34 8.92 | Load Average:  3.47, 5.24, 2.60 | Process Count: 316 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.439/1.529/1.739/0.109 Avg:ms Max:
2024-05-06 13:26:05 CPU Usage: 35.1% | Memory Usage: 23.39% | I/O Usage (read write): 3.34 8.92 | Load Average:  3.20, 5.16, 2.58 | Process Count: 316 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.550/1.763/2.083/0.187 Avg:ms Max:
2024-05-06 13:26:10 CPU Usage: 29% | Memory Usage: 23.39% | I/O Usage (read write): 3.34 8.92 | Load Average:  3.02, 5.09, 2.57 | Process Count: 316 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.404/1.716/1.863/0.175 Avg:ms Max:
2024-05-06 13:26:16 CPU Usage: 27.3% | Memory Usage: 23.40% | I/O Usage (read write): 3.34 8.92 | Load Average:  2.78, 5.00, 2.56 | Process Count: 316 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.492/1.719/1.903/0.143 Avg:ms Max:
2024-05-06 13:26:21 CPU Usage: 71.4% | Memory Usage: 23.41% | I/O Usage (read write): 3.34 8.92 | Load Average:  3.04, 5.02, 2.58 | Process Count: 317 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.379/1.588/1.719/0.119 Avg:ms Max:
2024-05-06 13:26:26 CPU Usage: 70.6% | Memory Usage: 23.43% | I/O Usage (read write): 3.34 8.92 | Load Average:  2.87, 4.95, 2.57 | Process Count: 316 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.528/1.626/1.727/0.076 Avg:ms Max:
2024-05-06 13:26:31 CPU Usage: 69.7% | Memory Usage: 23.44% | I/O Usage (read write): 3.34 8.92 | Load Average:  2.64, 4.87, 2.56 | Process Count: 317 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.722/1.918/2.211/0.172 Avg:ms Max:
2024-05-06 13:26:36 CPU Usage: 28.1% | Memory Usage: 23.45% | I/O Usage (read write): 3.34 8.92 | Load Average:  2.43, 4.79, 2.54 | Process Count: 316 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.367/1.603/1.773/0.144 Avg:ms Max:
2024-05-06 13:26:42 CPU Usage: 50% | Memory Usage: 23.45% | I/O Usage (read write): 3.34 8.92 | Load Average:  2.24, 4.71, 2.53 | Process Count: 317 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.643/1.861/2.007/0.129 Avg:ms Max:
2024-05-06 13:26:47 CPU Usage: 29.4% | Memory Usage: 23.46% | I/O Usage (read write): 3.34 8.92 | Load Average:  2.30, 4.68, 2.53 | Process Count: 316 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.535/1.699/1.939/0.168 Avg:ms Max:
2024-05-06 13:26:52 CPU Usage: 21.9% | Memory Usage: 23.45% | I/O Usage (read write): 3.34 8.92 | Load Average:  2.19, 4.62, 2.52 | Process Count: 315 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.458/1.711/1.884/0.141 Avg:ms Max:
2024-05-06 13:26:57 CPU Usage: 36.4% | Memory Usage: 23.46% | I/O Usage (read write): 3.34 8.92 | Load Average:  2.10, 4.56, 2.51 | Process Count: 310 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.626/1.829/2.030/0.153 Avg:ms Max:
2024-05-06 13:27:03 CPU Usage: 38.2% | Memory Usage: 23.43% | I/O Usage (read write): 3.34 8.92 | Load Average:  2.36, 4.54, 2.53 | Process Count: 310 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.525/1.827/2.204/0.273 Avg:ms Max:
2024-05-06 13:27:08 CPU Usage: 36.4% | Memory Usage: 23.43% | I/O Usage (read write): 3.34 8.92 | Load Average:  2.17, 4.46, 2.52 | Process Count: 311 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.592/1.807/2.053/0.172 Avg:ms Max:
2024-05-06 13:27:13 CPU Usage: 47.1% | Memory Usage: 23.42% | I/O Usage (read write): 3.34 8.92 | Load Average:  2.24, 4.44, 2.52 | Process Count: 311 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.545/1.735/2.038/0.181 Avg:ms Max:
2024-05-06 13:27:18 CPU Usage: 23.5% | Memory Usage: 23.42% | I/O Usage (read write): 3.34 8.92 | Load Average:  2.06, 4.36, 2.51 | Process Count: 311 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.289/1.419/1.585/0.101 Avg:ms Max:
2024-05-06 13:27:24 CPU Usage: 24.2% | Memory Usage: 23.42% | I/O Usage (read write): 3.34 8.92 | Load Average:  1.90, 4.29, 2.49 | Process Count: 311 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.528/1.690/2.061/0.196 Avg:ms Max:
