2024-05-04 23:09:05 CPU Usage: 15.6 | Memory Usage: 22.79 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.34, 2.00, 0.94 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.634/1.882/2.125/0.184 Avg:ms Max:
2024-05-04 23:09:10 CPU Usage: 71.9 | Memory Usage: 22.79 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.23, 1.97, 0.93 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.621/1.794/1.972/0.128 Avg:ms Max:
2024-05-04 23:09:15 CPU Usage: 52.9 | Memory Usage: 22.79 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.29, 1.97, 0.94 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.559/1.728/1.930/0.118 Avg:ms Max:
2024-05-04 23:09:21 CPU Usage: 78.1 | Memory Usage: 22.80 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.07, 2.12, 0.99 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.416/1.655/1.831/0.146 Avg:ms Max:
2024-05-04 23:09:26 CPU Usage: 68.8 | Memory Usage: 22.82 | I/O Usage (read write): 3.30 9.04 | Load Average:  1.98, 2.10, 0.99 | Process Count: 280 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.421/1.621/1.706/0.107 Avg:ms Max:
2024-05-04 23:09:31 CPU Usage: 43.8 | Memory Usage: 22.82 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.07, 2.12, 1.00 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.475/1.732/1.955/0.179 Avg:ms Max:
2024-05-04 23:09:36 CPU Usage: 71 | Memory Usage: 22.82 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.22, 2.15, 1.02 | Process Count: 280 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.262/1.530/1.678/0.140 Avg:ms Max:
2024-05-04 23:09:42 CPU Usage: 81.8 | Memory Usage: 22.84 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.36, 2.18, 1.04 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.639/1.740/1.991/0.128 Avg:ms Max:
2024-05-04 23:09:47 CPU Usage: 42.4 | Memory Usage: 22.86 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.41, 2.19, 1.05 | Process Count: 280 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.616/1.734/1.845/0.089 Avg:ms Max:
2024-05-04 23:09:52 CPU Usage: 41.9 | Memory Usage: 22.86 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.46, 2.21, 1.06 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.563/1.719/2.035/0.164 Avg:ms Max:
2024-05-04 23:09:57 CPU Usage: 25.8 | Memory Usage: 22.86 | I/O Usage (read write): 3.30 9.04 | Load Average:  2.08, 2.13, 1.04 | Process Count: 279 | Network Usage:  | Disk I/O Latency:  | Network Latency: Min:1.416/1.604/1.761/0.122 Avg:ms Max:
