2024-05-06 20:49:51 CPU Usage: 18.2% | Memory Usage: 27.06% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
58a77735eccd   edgeservice           35.42%    223.3MiB / 1GiB       21.80%    57.2MB / 74.3MB   0B / 24.4MB    39
893a597ee7e4   tripmanagementquery   12.55%    297.7MiB / 1GiB       29.07%    36.9MB / 17MB     0B / 26.5MB    63
a590ec851b1e   calculationservice    0.03%     4.41MiB / 1GiB        0.43%     29.6MB / 36MB     0B / 0B        7
ee7d2be91e49   tripmanagementcmd     21.76%    371.5MiB / 1GiB       36.28%    48.5GB / 214MB    0B / 92.1MB    53
542de0862de7   gmapsadapter          0.00%     51.37MiB / 1GiB       5.02%     18.6MB / 13.5MB   0B / 16.4kB    22
80cf21d912f2   notificationservice   0.05%     12.19MiB / 1GiB       1.19%     9.52MB / 1.89MB   0B / 0B        6
9bc901cb6181   userservice           0.15%     1.518GiB / 2GiB       75.90%    483kB / 558kB     0B / 20MB      41
4b76beba0bca   logstash              0.45%     1.078GiB / 31.34GiB   3.44%     14kB / 2.75kB     0B / 14MB      40
9d48986e2e38   kibana                3.79%     484.2MiB / 1GiB       47.28%    14MB / 70.3MB     0B / 8.19kB    12
169fc0d27e17   monitor               0.98%     726.2MiB / 2GiB       35.46%    21.7MB / 1.57MB   0B / 29.4MB    18
8e05f3f7005f   elasticsearch         0.31%     1.451GiB / 2GiB       72.54%    70.1MB / 13.7MB   0B / 43.3MB    88
8c8b2a42cbcb   mongo                 2.98%     77.12MiB / 1GiB       7.53%     188MB / 48.5GB    41kB / 117MB   23
7cac5634af4e   rabbitmq              7.83%     102.6MiB / 512MiB     20.04%    56.6MB / 56.6MB   0B / 3.34MB    40
0d83340eb2a1   mysqlserver           0.07%     177.7MiB / 1GiB       17.36%    246kB / 296kB     0B / 13.1MB    38
bad4d64f3501   discoveryservice      0.47%     917.6MiB / 1GiB       89.61%    1.85MB / 1.51MB   0B / 13.4MB    63 | Load Average:  0.13, 0.19, 0.23 | Process Count: 313 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.761/1.967/2.197/0.185 Avg:ms Max:
2024-05-06 20:49:59 CPU Usage: 16.7% | Memory Usage: 27.16% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
58a77735eccd   edgeservice           7.46%     223.3MiB / 1GiB       21.80%    58MB / 75.2MB     0B / 24.4MB    39
893a597ee7e4   tripmanagementquery   4.04%     297.8MiB / 1GiB       29.08%    37.7MB / 17.3MB   0B / 26.5MB    63
a590ec851b1e   calculationservice    0.00%     4.41MiB / 1GiB        0.43%     29.6MB / 36MB     0B / 0B        7
ee7d2be91e49   tripmanagementcmd     21.09%    372.8MiB / 1GiB       36.40%    48.5GB / 216MB    0B / 92.9MB    53
542de0862de7   gmapsadapter          0.00%     51.37MiB / 1GiB       5.02%     18.6MB / 13.5MB   0B / 16.4kB    22
80cf21d912f2   notificationservice   0.00%     12.19MiB / 1GiB       1.19%     9.52MB / 1.89MB   0B / 0B        6
