2024-05-06 18:09:42 CPU Usage: 20.6% | Memory Usage: 22.79% | I/O Usage (read write): 3.38 8.90 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
58a77735eccd   edgeservice           0.09%     182.6MiB / 1GiB       17.83%    23.4kB / 18.5kB   0B / 1.22MB    36
893a597ee7e4   tripmanagementquery   0.54%     243.6MiB / 1GiB       23.79%    46.8kB / 38kB     0B / 1.74MB    56
a590ec851b1e   calculationservice    0.00%     2.883MiB / 1GiB       0.28%     36.7kB / 35kB     0B / 0B        6
ee7d2be91e49   tripmanagementcmd     32.47%    225.2MiB / 1GiB       22.00%    43.5kB / 31.8kB   0B / 1.77MB    49
542de0862de7   gmapsadapter          0.00%     50.45MiB / 1GiB       4.93%     340kB / 26.5kB    0B / 16.4kB    22
80cf21d912f2   notificationservice   0.00%     1.656MiB / 1GiB       0.16%     15.1kB / 9.82kB   0B / 0B        5
9bc901cb6181   userservice           60.41%    1.472GiB / 2GiB       73.58%    74.5kB / 56.4kB   0B / 1.74MB    40
4b76beba0bca   logstash              2.20%     483.1MiB / 31.34GiB   1.51%     10.9kB / 2.6kB    0B / 872kB     40
9d48986e2e38   kibana                3.61%     479.4MiB / 1GiB       46.81%    2.2MB / 4.45MB    0B / 8.19kB    12
169fc0d27e17   monitor               0.10%     529.4MiB / 2GiB       25.85%    13.6kB / 1.54kB   0B / 2.48MB    18
8e05f3f7005f   elasticsearch         1.96%     1.415GiB / 2GiB       70.77%    4.45MB / 2.11MB   0B / 4.4MB     87
8c8b2a42cbcb   mongo                 0.31%     31.54MiB / 1GiB       3.08%     46.2kB / 45kB     41kB / 823kB   21
7cac5634af4e   rabbitmq              1.05%     98.97MiB / 512MiB     19.33%    45.5kB / 30.4kB   0B / 3.34MB    40
0d83340eb2a1   mysqlserver           0.25%     177.3MiB / 1GiB       17.32%    49.2kB / 50.2kB   0B / 13.1MB    37
bad4d64f3501   discoveryservice      1.87%     843.5MiB / 1GiB       82.37%    117kB / 111kB     0B / 918kB     63 | Load Average:  0.10, 1.62, 1.99 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.90 | Network Latency: Min:1.641/1.756/1.872/0.081 Avg:ms Max:
2024-05-06 18:09:50 CPU Usage: 64.7% | Memory Usage: 23.30% | I/O Usage (read write): 3.38 8.90 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
58a77735eccd   edgeservice           28.95%    200.7MiB / 1GiB       19.60%    361kB / 438kB     0B / 1.22MB     39
