2024-05-14 19:08:32 CPU Usage: 40% | Memory Usage: 21.35% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  0.93, 1.77, 0.85 | Process Count: 280 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.467/1.703/1.989/0.176 Avg:ms Max:
2024-05-14 19:08:38 CPU Usage: 100% | Memory Usage: 21.44% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.02, 1.77, 0.86 | Process Count: 281 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.678/1.781/2.035/0.129 Avg:ms Max:
2024-05-14 19:08:43 CPU Usage: 61.8% | Memory Usage: 21.52% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.10, 1.78, 0.87 | Process Count: 281 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.633/1.855/1.981/0.127 Avg:ms Max:
2024-05-14 19:08:48 CPU Usage: 94.1% | Memory Usage: 21.54% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.33, 1.81, 0.88 | Process Count: 281 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.546/1.719/1.842/0.127 Avg:ms Max:
2024-05-14 19:08:54 CPU Usage: 37.5% | Memory Usage: 21.57% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.46, 1.83, 0.89 | Process Count: 281 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.348/1.683/1.955/0.195 Avg:ms Max:
2024-05-14 19:08:59 CPU Usage: 80% | Memory Usage: 21.59% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.67, 1.87, 0.91 | Process Count: 282 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.746/1.925/2.047/0.111 Avg:ms Max:
2024-05-14 19:09:04 CPU Usage: 42.4% | Memory Usage: 21.59% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.53, 1.84, 0.91 | Process Count: 280 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.330/1.627/1.800/0.164 Avg:ms Max:
2024-05-14 19:09:09 CPU Usage: 48.5% | Memory Usage: 21.59% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.81, 1.89, 0.93 | Process Count: 281 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.595/1.807/2.022/0.178 Avg:ms Max:
2024-05-14 19:09:14 CPU Usage: 66.7% | Memory Usage: 21.61% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.67, 1.86, 0.92 | Process Count: 281 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.669/1.771/1.947/0.096 Avg:ms Max:
2024-05-14 19:09:20 CPU Usage: 42.4% | Memory Usage: 21.62% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.69, 1.86, 0.93 | Process Count: 281 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.283/1.615/1.874/0.214 Avg:ms Max:
2024-05-14 19:09:25 CPU Usage: 25% | Memory Usage: 21.89% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.64, 1.85, 0.93 | Process Count: 281 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.556/1.666/1.861/0.113 Avg:ms Max:
