2024-05-14 19:18:09 CPU Usage: 15.6% | Memory Usage: 22.79% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  6.64, 6.66, 3.35 | Process Count: 324 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.766/1.878/1.985/0.090 Avg:ms Max:
2024-05-14 19:18:14 CPU Usage: 93.8% | Memory Usage: 23.34% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  6.10, 6.54, 3.33 | Process Count: 325 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.657/1.828/2.200/0.194 Avg:ms Max:
2024-05-14 19:18:19 CPU Usage: 45.7% | Memory Usage: 23.42% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  6.34, 6.59, 3.36 | Process Count: 325 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.458/1.784/2.055/0.208 Avg:ms Max:
2024-05-14 19:18:24 CPU Usage: 73.5% | Memory Usage: 23.45% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  5.91, 6.49, 3.35 | Process Count: 325 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.704/1.819/1.985/0.134 Avg:ms Max:
2024-05-14 19:18:30 CPU Usage: 40.6% | Memory Usage: 23.50% | I/O Usage (read write): 3.36 8.28 | Docker Stats:  | Load Average:  6.16, 6.53, 3.38 | Process Count: 325 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.28 | Network Latency: Min:1.551/1.638/1.698/0.047 Avg:ms Max:
2024-05-14 19:18:35 CPU Usage: 73.5% | Memory Usage: 23.51% | I/O Usage (read write): 3.36 8.28 | Docker Stats:  | Load Average:  5.74, 6.44, 3.37 | Process Count: 324 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.28 | Network Latency: Min:1.472/1.701/1.916/0.154 Avg:ms Max:
2024-05-14 19:18:40 CPU Usage: 85.7% | Memory Usage: 23.54% | I/O Usage (read write): 3.36 8.28 | Docker Stats:  | Load Average:  7.21, 6.73, 3.48 | Process Count: 326 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.28 | Network Latency: Min:1.582/1.731/2.004/0.155 Avg:ms Max:
2024-05-14 19:18:45 CPU Usage: 34.4% | Memory Usage: 23.56% | I/O Usage (read write): 3.36 8.28 | Docker Stats:  | Load Average:  6.95, 6.69, 3.48 | Process Count: 325 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.28 | Network Latency: Min:1.614/1.752/1.908/0.122 Avg:ms Max:
2024-05-14 19:18:51 CPU Usage: 100% | Memory Usage: 23.57% | I/O Usage (read write): 3.36 8.28 | Docker Stats:  | Load Average:  6.87, 6.68, 3.50 | Process Count: 326 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.28 | Network Latency: Min:1.287/1.594/1.868/0.209 Avg:ms Max:
2024-05-14 19:18:56 CPU Usage: 91.9% | Memory Usage: 23.60% | I/O Usage (read write): 3.36 8.28 | Docker Stats:  | Load Average:  6.32, 6.57, 3.48 | Process Count: 325 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.28 | Network Latency: Min:1.551/1.859/2.097/0.187 Avg:ms Max:
2024-05-14 19:19:01 CPU Usage: 45.5% | Memory Usage: 23.62% | I/O Usage (read write): 3.36 8.28 | Docker Stats:  | Load Average:  6.14, 6.52, 3.48 | Process Count: 324 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.28 | Network Latency: Min:1.505/1.723/2.074/0.206 Avg:ms Max:
