2024-05-14 19:57:15 CPU Usage: 53.1% | Memory Usage: 22.53% | I/O Usage (read write): 3.37 8.28 | Docker Stats:  | Load Average:  6.70, 3.69, 2.18 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.28 | Network Latency: Min:1.708/1.954/2.186/0.158 Avg:ms Max:
2024-05-14 19:57:20 CPU Usage: 97% | Memory Usage: 22.59% | I/O Usage (read write): 3.37 8.28 | Docker Stats:  | Load Average:  6.16, 3.63, 2.17 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.28 | Network Latency: Min:1.551/1.637/1.754/0.074 Avg:ms Max:
2024-05-14 19:57:26 CPU Usage: 48.5% | Memory Usage: 22.75% | I/O Usage (read write): 3.37 8.28 | Docker Stats:  | Load Average:  6.15, 3.67, 2.19 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.28 | Network Latency: Min:1.660/1.921/2.015/0.132 Avg:ms Max:
2024-05-14 19:57:31 CPU Usage: 77.8% | Memory Usage: 22.76% | I/O Usage (read write): 3.37 8.28 | Docker Stats:  | Load Average:  5.73, 3.62, 2.18 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.28 | Network Latency: Min:1.462/1.803/1.999/0.210 Avg:ms Max:
2024-05-14 19:57:36 CPU Usage: 42.9% | Memory Usage: 22.78% | I/O Usage (read write): 3.37 8.28 | Docker Stats:  | Load Average:  5.35, 3.58, 2.18 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.28 | Network Latency: Min:1.461/1.567/1.675/0.081 Avg:ms Max:
2024-05-14 19:57:41 CPU Usage: 47.1% | Memory Usage: 22.80% | I/O Usage (read write): 3.37 8.28 | Docker Stats:  | Load Average:  4.92, 3.52, 2.16 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.28 | Network Latency: Min:1.424/1.580/1.694/0.099 Avg:ms Max:
2024-05-14 19:57:47 CPU Usage: 51.5% | Memory Usage: 22.80% | I/O Usage (read write): 3.37 8.28 | Docker Stats:  | Load Average:  4.85, 3.53, 2.17 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.28 | Network Latency: Min:1.579/1.809/2.132/0.225 Avg:ms Max:
2024-05-14 19:57:52 CPU Usage: 97.1% | Memory Usage: 22.81% | I/O Usage (read write): 3.37 8.28 | Docker Stats:  | Load Average:  4.86, 3.55, 2.19 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.28 | Network Latency: Min:1.415/1.585/1.788/0.121 Avg:ms Max:
2024-05-14 19:57:57 CPU Usage: 35.3% | Memory Usage: 22.83% | I/O Usage (read write): 3.37 8.28 | Docker Stats:  | Load Average:  4.63, 3.52, 2.19 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.28 | Network Latency: Min:1.333/1.636/1.896/0.230 Avg:ms Max:
2024-05-14 19:58:02 CPU Usage: 50% | Memory Usage: 22.86% | I/O Usage (read write): 3.37 8.28 | Docker Stats:  | Load Average:  4.50, 3.52, 2.19 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.28 | Network Latency: Min:1.280/1.611/1.816/0.209 Avg:ms Max:
2024-05-14 19:58:08 CPU Usage: 94.4% | Memory Usage: 23.11% | I/O Usage (read write): 3.37 8.28 | Docker Stats:  | Load Average:  4.30, 3.49, 2.19 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.28 | Network Latency: Min:1.594/1.722/1.959/0.125 Avg:ms Max:
2024-05-14 19:58:13 CPU Usage: 30% | Memory Usage: 23.27% | I/O Usage (read write): 3.37 8.28 | Docker Stats:  | Load Average:  4.04, 3.45, 2.18 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.28 | Network Latency: Min:1.417/1.599/1.723/0.133 Avg:ms Max:
2024-05-14 19:58:18 CPU Usage: 100% | Memory Usage: 23.29% | I/O Usage (read write): 3.37 8.28 | Docker Stats:  | Load Average:  3.79, 3.41, 2.18 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.28 | Network Latency: Min:1.602/1.750/1.940/0.125 Avg:ms Max:
2024-05-14 19:58:23 CPU Usage: 31.4% | Memory Usage: 23.30% | I/O Usage (read write): 3.37 8.28 | Docker Stats:  | Load Average:  3.65, 3.38, 2.18 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.28 | Network Latency: Min:1.394/1.699/2.127/0.245 Avg:ms Max:
