2024-05-15 06:06:17 CPU Usage: 42.1% | Memory Usage: 31.23% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.21, 0.85, 1.16 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.539/1.879/2.157/0.241 Avg:ms Max:
2024-05-15 06:06:22 CPU Usage: 50% | Memory Usage: 31.23% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.19, 0.83, 1.15 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.543/1.685/1.980/0.173 Avg:ms Max:
2024-05-15 06:06:26 CPU Usage: 69.7% | Memory Usage: 31.20% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.34, 0.85, 1.16 | Process Count: 285 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.392/1.695/2.006/0.234 Avg:ms Max:
2024-05-15 06:06:30 CPU Usage: 25% | Memory Usage: 31.23% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.39, 0.86, 1.16 | Process Count: 285 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.312/1.538/1.852/0.224 Avg:ms Max:
2024-05-15 06:06:34 CPU Usage: 46.9% | Memory Usage: 31.25% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.44, 0.86, 1.16 | Process Count: 285 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.503/1.678/1.875/0.139 Avg:ms Max:
2024-05-15 06:06:39 CPU Usage: 65.7% | Memory Usage: 31.15% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.41, 0.84, 1.15 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.521/1.635/1.857/0.123 Avg:ms Max:
2024-05-15 06:06:43 CPU Usage: 27.3% | Memory Usage: 31.17% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.41, 0.84, 1.15 | Process Count: 285 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.394/1.545/1.706/0.130 Avg:ms Max:
2024-05-15 06:06:47 CPU Usage: 94.1% | Memory Usage: 31.17% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.37, 0.83, 1.14 | Process Count: 285 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.440/1.610/1.756/0.112 Avg:ms Max:
2024-05-15 06:06:51 CPU Usage: 24.2% | Memory Usage: 31.19% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.42, 0.83, 1.14 | Process Count: 285 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.587/1.813/2.041/0.161 Avg:ms Max:
2024-05-15 06:06:56 CPU Usage: 26.5% | Memory Usage: 31.27% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.47, 0.84, 1.14 | Process Count: 285 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.442/1.679/1.835/0.137 Avg:ms Max:
2024-05-15 06:07:00 CPU Usage: 54.8% | Memory Usage: 31.51% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.43, 0.82, 1.14 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.593/1.744/1.957/0.153 Avg:ms Max:
2024-05-15 06:07:04 CPU Usage: 15.6% | Memory Usage: 31.73% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.72, 0.87, 1.15 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.484/1.658/1.834/0.146 Avg:ms Max:
2024-05-15 06:07:08 CPU Usage: 69.7% | Memory Usage: 32.12% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.66, 0.86, 1.15 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.431/1.672/1.864/0.140 Avg:ms Max:
2024-05-15 06:07:12 CPU Usage: 71% | Memory Usage: 32.12% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.66, 0.86, 1.15 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.294/1.640/1.840/0.202 Avg:ms Max:
2024-05-15 06:07:17 CPU Usage: 17.6% | Memory Usage: 32.15% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.77, 0.88, 1.15 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.579/1.682/1.882/0.119 Avg:ms Max:
